2019-01-07 15:43:21,183 |  Habitos - CRM Info |INFO | Verify that if the user can't able to login with correct un & incorrect password
2019-01-07 15:43:21,259 |  Habitos - CRM Info |INFO | Verify that if the User Name field is present 
2019-01-07 15:43:21,271 |  Habitos - CRM Info |INFO | Verify that if the username fields get autofocus
2019-01-07 15:43:21,397 |  Habitos - CRM Info |INFO | Verify that if the Password  field is present 
2019-01-07 15:43:21,411 |  Habitos - CRM Info |INFO | Verify that if the password fields get focused
2019-01-07 15:43:21,495 |  Habitos - CRM Info |INFO | Verify that user can able to login the valid credentials
2019-01-07 15:43:23,670 |  Habitos - View Control |ERROR | if click add button it should redirect to add screen
2019-01-07 15:43:23,670 |  Habitos - View Control |ERROR | if click sumit button the values gets saved and dispalying to index screen
2019-01-07 15:43:25,127 |  Habitos - Individual_Enrollment |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:43:25,159 |  Habitos - Individual_Enrollment |ERROR | if click upload button it should upload the enrolment file
2019-01-07 15:43:26,224 |  Habitos - View Control |ERROR | verify that if click view control menu it should redirect to related screen
2019-01-07 15:43:48,616 |  BramHope Website Portal |INFO | browser gets open
2019-01-07 15:43:51,366 |  BramHope Website Portal |INFO | browser gets valid ip address
